4GTV-PHP🌸,#genre#
民視台灣台,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv001
民視第一台,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv003
民視綜藝台,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv004
豬哥亮歌廳秀,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv006
中天新聞台,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv009
非凡新聞台,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv010
影迷數位電影台,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv011
視納華仁紀實頻道,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv013
時尚運動X,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv014
達文西頻道,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv018
八大精彩台,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv034
八大綜藝台,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv039
中視,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv040
華視,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv041
公視戲劇,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv042
客家電視台,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv043
靖天卡通台,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv044
靖洋戲劇台,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv045
靖天綜合台,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv046
靖天日本台,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv047
非凡商業台,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv048
采昌影劇台,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv049
台視新聞,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv051
華視新聞,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv052
GINX Esports TV,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv053
靖天歡樂台,http://192.168.31.4:1216/litv.php?token=jake3&id=4gtv-4gtv054
